AgmtID,Unique,C1_Region,C1_LDC,C2_OECD,C2_G20,C2_BEPS,C1,C2,Signedyear,Effectiveyear,Type,Ratified,Terminated,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,12i,12ii,12iii,12iv,13i,13ii,16i,18i,18ii,21i,27i,source.country,destination.country
2825,1,Africa,TRUE,FALSE,TRUE,TRUE,Tanzania,India,2011,2012,Renegotiation,Yes,No,9,YES,6,NO,NO,YES,YES,YES,NO,YES,YES,5,25,10,10,10,YES,YES,"NA",YES,YES,NO,NO,NO,YES,Yes,TZA,IND
3465,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,Kuwait,2009,2012,New treaty,Yes,No,6,YES,6,NO,NO,YES,NO,YES,YES,YES,NO,15,"NA",15,15,20,YES,YES,20,YES,YES,NO,NO,NO,YES,No,VNM,KWT
3501,1,Asia,TRUE,FALSE,FALSE,FALSE,Laos,Malaysia,2010,2012,New treaty,Yes,No,6,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,5,10,10,10,10,YES,YES,10,"NA","NA",NO,NO,NO,YES,No,LAO,MYS
3888,1,Africa,TRUE,FALSE,FALSE,FALSE,Zambia,Mauritius,2011,2012,New treaty,Yes,No,9,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,5,YES,NO,"NA","NA","NA",NO,NO,YES,NO,No,ZMB,MUS
4012,1,Asia,TRUE,FALSE,FALSE,FALSE,Myanmar,Thailand,2002,2012,New treaty,Yes,No,6,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,10,"NA",10,10,15,YES,YES,"NA",YES,YES,NO,NO,NO,YES,No,MMR,THA
4255,1,Asia,FALSE,FALSE,FALSE,FALSE,Pakistan,Ukraine,2008,2012,New treaty,Yes,No,6,YES,6,YES,NO,YES,NO,NO,YES,YES,NO,10,25,15,10,10,YES,YES,"NA",YES,NO,NO,NO,YES,NO,No,PAK,UKR
4403,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,Qatar,2009,2012,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,5,50,12.5,10,5,YES,YES,7.5,YES,YES,NO,NO,NO,YES,No,VNM,QAT
4489,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,Saudi Arabia,2010,2012,New treaty,Yes,No,6,YES,6,NO,NO,YES,NO,YES,YES,YES,NO,5,50,12.5,10,10,YES,YES,7.5,NO,YES,NO,NO,YES,YES,No,VNM,SAU
458,1,Asia,FALSE,TRUE,FALSE,TRUE,Vietnam,Austria,2008,2011,New treaty,Yes,No,6,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,10,25,15,10,10,YES,YES,7.5,YES,YES,NO,NO,NO,YES,No,VNM,AUT
866,1,Africa,TRUE,TRUE,FALSE,TRUE,Rwanda,Belgium,2007,2011,New treaty,Yes,No,6,YES,3,YES,YES,NO,YES,NO,NO,NO,NO,0,25,15,10,10,YES,YES,10,YES,NO,NO,YES,YES,YES,Yes,RWA,BEL
1075,1,Asia,TRUE,FALSE,FALSE,FALSE,Laos,Brunei,2006,2011,New treaty,Yes,No,6,YES,3,YES,YES,YES,YES,YES,YES,NO,NO,5,10,10,10,10,YES,YES,10,NO,NO,NO,NO,YES,NO,No,LAO,BRN
1408,1,Asia,TRUE,FALSE,TRUE,TRUE,Nepal,China (People's Rep.),2001,2011,New treaty,Yes,No,6,YES,6,YES,YES,NO,YES,YES,NO,YES,NO,10,"NA",10,10,15,YES,YES,"NA",YES,YES,NO,NO,YES,YES,No,NPL,CHN
2179,1,Africa,FALSE,TRUE,TRUE,TRUE,Kenya,France,2007,2011,New treaty,Yes,No,6,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,10,"NA",10,12,10,YES,YES,"NA",YES,NO,YES,NO,NO,YES,No,KEN,FRA
3689,1,Africa,TRUE,FALSE,FALSE,FALSE,Mozambique,Macau,2007,2011,New treaty,Yes,No,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,10,"NA",10,10,10,YES,YES,10,NO,NO,YES,NO,NO,YES,No,MOZ,MAC
4238,1,Asia,FALSE,FALSE,FALSE,FALSE,Pakistan,Serbia,2010,2011,New treaty,Yes,No,9,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,10,"NA",10,10,10,YES,YES,10,YES,NO,YES,YES,YES,YES,No,PAK,SRB
4242,1,Asia,FALSE,TRUE,FALSE,TRUE,Pakistan,Spain,2010,2011,New treaty,Yes,No,12,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,5,50,10,10,7.5,NO,YES,10,YES,NO,NO,NO,NO,NO,No,PAK,ESP
4470,1,Africa,TRUE,FALSE,TRUE,TRUE,Rwanda,South Africa,2002,2011,New treaty,Yes,No,6,YES,6,YES,YES,NO,NO,NO,NO,YES,NO,10,25,20,10,10,YES,NO,10,YES,NO,NO,NO,NO,YES,No,RWA,ZAF
4782,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,United Arab Emirates,2009,2011,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,5,50,15,10,10,YES,YES,"NA",YES,YES,YES,NO,YES,YES,No,VNM,ARE
569,1,Asia,FALSE,FALSE,FALSE,FALSE,Pakistan,Bahrain,2005,2010,New treaty,Yes,No,6,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,10,"NA",10,10,10,YES,NO,10,NO,NO,YES,YES,YES,YES,No,PAK,BHR
1079,1,Asia,FALSE,FALSE,FALSE,FALSE,Pakistan,Brunei,2009,2010,New treaty,Yes,No,6,YES,3,NO,NO,YES,YES,YES,YES,YES,NO,10,"NA",10,15,15,YES,YES,15,YES,NO,YES,YES,YES,YES,No,PAK,BRN
1088,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,Brunei,2007,2010,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,NO,NO,10,"NA",10,10,10,YES,YES,"NA",YES,YES,NO,YES,NO,YES,No,VNM,BRN
1413,1,Africa,FALSE,FALSE,TRUE,TRUE,Nigeria,China (People's Rep.),2002,2010,New treaty,Yes,No,6,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,7.5,"NA",7.5,7.5,7.5,YES,YES,"NA",NO,NO,NO,NO,YES,NO,No,NGA,CHN
2509,1,Africa,FALSE,TRUE,FALSE,TRUE,Ghana,Switzerland,2008,2010,New treaty,Yes,No,9,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,15,10,8,YES,NO,8,YES,NO,NO,NO,NO,NO,No,GHA,CHE
2640,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,Hong Kong,2008,2010,New treaty,Yes,No,6,YES,6,NO,NO,YES,NO,YES,YES,YES,NO,10,"NA",10,10,10,YES,YES,"NA",YES,YES,NO,NO,YES,YES,No,VNM,HKG
2776,1,Asia,TRUE,FALSE,TRUE,TRUE,Myanmar,India,2008,2010,New treaty,Yes,No,9,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,5,"NA",5,10,10,YES,YES,"NA",YES,YES,NO,NO,NO,YES,No,MMR,IND
2939,1,Africa,TRUE,FALSE,FALSE,FALSE,Sudan,Iran,2004,2010,New treaty,Yes,No,12,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,5,20,10,7,5,YES,YES,"NA",YES,NO,NO,YES,YES,NO,No,SDN,IRN
3067,1,Asia,FALSE,TRUE,FALSE,TRUE,Vietnam,Israel,2009,2010,New treaty,Yes,No,6,YES,6,YES,YES,YES,NO,YES,NO,NO,NO,10,"NA",10,10,15,YES,YES,7.5,YES,NO,NO,NO,YES,YES,No,VNM,ISR
3738,1,Asia,TRUE,FALSE,FALSE,FALSE,Myanmar,Malaysia,1998,2010,New treaty,Yes,No,6,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,10,"NA",10,10,10,YES,YES,10,YES,YES,NO,NO,NO,YES,No,MMR,MYS
3978,1,Asia,FALSE,FALSE,FALSE,FALSE,Pakistan,Morocco,2006,2010,New treaty,Yes,No,6,YES,1,NO,NO,YES,YES,YES,YES,YES,NO,10,"NA",10,10,10,YES,YES,10,YES,NO,YES,NO,YES,YES,No,PAK,MAR
4008,1,Africa,TRUE,FALSE,TRUE,TRUE,Mozambique,South Africa,2007,2010,New treaty,Yes,No,6,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,8,25,15,8,5,YES,NO,"NA",YES,NO,NO,YES,YES,YES,Yes,MOZ,ZAF
4011,1,Asia,TRUE,FALSE,FALSE,FALSE,Myanmar,Singapore,1999,2010,New treaty,Yes,No,6,YES,6,YES,YES,NO,YES,NO,NO,NO,YES,5,25,10,10,15,YES,YES,"NA",YES,YES,NO,YES,NO,YES,No,MMR,SGP
4026,1,Asia,TRUE,FALSE,FALSE,FALSE,Nepal,Qatar,2007,2010,New treaty,Yes,No,6,YES,6,NO,NO,NO,YES,YES,YES,YES,NO,10,"NA",10,10,15,YES,YES,"NA",NO,YES,YES,NO,YES,YES,No,NPL,QAT
